OWNERSHIPCD,CAMERALABEL,IMAGEURL,VIDEOURL,WEBURL,LONGITUDE,LATITUDE,LOCATION
SDOT,Aurora Ave N & N 87th St,http://www.seattle.gov/trafficcams/images/aurora_87th.jpg,rtmp://156.74.125.146:1935/live&file=Aurora_85.stream,http://www.seattle.gov/trafficcams/aurora_87th.htm,-122.34463,47.69195,"(47.69195, -122.34463)"
SDOT,Aurora Ave N & N 90th St,http://www.seattle.gov/trafficcams/images/Aurora_90.jpg,rtmp://156.74.125.146:1935/live&file=Aurora_90.stream,NULL,-122.34447,47.69428,"(47.69428, -122.34447)"
SDOT,Aurora Ave N & N 103rd St,http://www.seattle.gov/trafficcams/images/aurora_103rd.jpg,rtmp://156.74.125.146:1935/live&file=Aurora_105.stream,http://www.seattle.gov/trafficcams/aurora_103rd.htm,-122.34458,47.70294,"(47.70294, -122.34458)"
SDOT,Aurora Ave N & N 105th St,http://www.seattle.gov/trafficcams/images/aurora_105th.jpg,rtmp://156.74.125.142:1935/live&file=105_Aurora.stream,http://www.seattle.gov/trafficcams/aurora_105th.htm,-122.34426,47.70499,"(47.70499, -122.34426)"
WSDOT,I-5 @ Northgate Way,http://images.wsdot.wa.gov/nw/005vc17277.jpg,NULL,http://www.seattle.gov/trafficcams/i5_northgate.htm,-122.33001,47.70592,"(47.70592, -122.33001)"
SDOT,5th Ave NE & NE Northgate Way,http://www.seattle.gov/trafficcams/images/northgate_5thb.jpg,rtmp://156.74.125.142:1935/live&file=5_Northgate.stream,http://www.seattle.gov/trafficcams/northgate_5thb.htm,-122.3233,47.70775,"(47.70775, -122.32330)"
SDOT,5th Ave NE & NE Northgate Way,http://www.seattle.gov/trafficcams/images/northgate_5tha.jpg,rtmp://156.74.125.146:1935/live&file=Northgate_5.stream,http://www.seattle.gov/trafficcams/northgate_5tha.htm,-122.32476,47.70867,"(47.70867, -122.32476)"
SDOT,1st Ave NE & NE Northgate Way,http://www.seattle.gov/trafficcams/images/1_Northgate.jpg,rtmp://156.74.125.142:1935/live&file=1_Northgate.stream,http://www.seattle.gov/trafficcams/northgate_1st.htm,-122.32876,47.70886,"(47.70886, -122.32876)"
SDOT,Aurora Ave N & N 117 Pl,http://www.seattle.gov/trafficcams/images/Aurora_117.jpg,rtmp://156.74.125.146:1935/live&file=Aurora_117.stream,NULL,-122.34476,47.71467,"(47.71467, -122.34476)"
SDOT,LCW & NE 125th St - NS,http://www.seattle.gov/trafficcams/images/LCW_125.jpg,rtmp://156.74.125.146:1935/live&file=LCW_125.stream,http://www.seattle.gov/trafficcams/lakecity_125th.htm,-122.29561,47.71848,"(47.71848, -122.29561)"
SDOT,LCW & NE 125th St - EW,http://www.seattle.gov/trafficcams/images/125_LCW.jpg,rtmp://156.74.125.142:1935/live&file=125_LCW.stream,http://www.seattle.gov/trafficcams/125th_lakecity.htm,-122.29404,47.71933,"(47.71933, -122.29404)"
SDOT,Aurora Ave N & N 130th St - NS,http://www.seattle.gov/trafficcams/images/aurora_130thb.jpg,rtmp://156.74.125.146:1935/live&file=Aurora_130.stream,http://www.seattle.gov/trafficcams/aurora_130thb.htm,-122.34507,47.72293,"(47.72293, -122.34507)"
SDOT,Aurora Ave N & N 130th St - EW,http://www.seattle.gov/trafficcams/images/aurora_130tha.jpg,rtmp://156.74.125.142:1935/live&file=130_Aurora.stream,http://www.seattle.gov/trafficcams/aurora_130tha.htm,-122.34683,47.72328,"(47.72328, -122.34683)"
SDOT,LCW & NE 145th St - NS,http://www.seattle.gov/trafficcams/images/LCW_145.jpg,rtmp://156.74.125.146:1935/live&file=LCW_145.stream,http://www.seattle.gov/trafficcams/lakecity_145th.htm,-122.29229,47.73215,"(47.73215, -122.29229)"
SDOT,Aurora Ave N & N 145th St - NS,http://www.seattle.gov/trafficcams/images/aurora_145tha.jpg,rtmp://156.74.125.146:1935/live&file=Aurora_145.stream,http://www.seattle.gov/trafficcams/aurora_145tha.htm,-122.34518,47.73341,"(47.73341, -122.34518)"
SDOT,LCW & NE 145th St - EW,http://www.seattle.gov/trafficcams/images/145_LCW.jpg,rtmp://156.74.125.142:1935/live&file=145_LCW.stream,http://www.seattle.gov/trafficcams/145th_lakecity.htm,-122.29159,47.73383,"(47.73383, -122.29159)"
WSDOT,I-5 @ NE 145th St,http://images.wsdot.wa.gov/nw/005vc17461.jpg,NULL,http://www.seattle.gov/trafficcams/I5_145th.htm,-122.3228,47.73405,"(47.73405, -122.32280)"
SDOT,Aurora Ave N & N 145th St - EW,http://www.seattle.gov/trafficcams/images/aurora_145thb.jpg,rtmp://156.74.125.142:1935/live&file=145_Aurora.stream,http://www.seattle.gov/trafficcams/aurora_145thb.htm,-122.34487,47.73407,"(47.73407, -122.34487)"
